,unité urbaine,fauteuils,population unité urbaine,pers/faut
543,Mont-de-Marsan,1715,41091.0,23.959766763848396
544,Montaigu,280,20854.0,74.47857142857143
545,Montargis,1499,58612.0,39.100733822548364
546,Montauban,2809,81388.0,28.974012103951583
547,Montauban-de-Bretagne,150,6189.0,41.26
548,Montauroux,284,9922.0,34.936619718309856
549,Montbard,165,5459.0,33.084848484848486
550,Montbrison,816,24160.0,29.607843137254903
551,Montbéliard,2933,108639.0,37.04023184452779
552,Montceau-les-Mines,640,38556.0,60.24375
553,Montdidier,178,6477.0,36.3876404494382
554,Montendre,120,3647.0,30.391666666666666
555,Montereau-Fault-Yonne,1603,29860.0,18.627573300062384
556,Montfort-sur-Meu,264,6863.0,25.99621212121212
557,Montignac,176,2807.0,15.948863636363637
558,Montluçon,662,56043.0,84.6570996978852
559,Montmirail,288,3633.0,12.614583333333334
560,Montmorillon,166,6369.0,38.36746987951807
561,Montmédy,98,2179.0,22.23469387755102
562,Montmélian,158,6026.0,38.139240506329116
563,Montpellier,10917,455313.0,41.70678757900522
564,Montpon-Ménestérol,179,11880.0,66.36871508379889
565,Montreuil,200,4970.0,24.85
566,Montrichard,195,6875.0,35.256410256410255
567,Montréjeau,200,5629.0,28.145
568,Montsûrs,290,3242.0,11.179310344827586
569,Montélimar,1547,59051.0,38.17129928894635
570,Morcenx,441,5154.0,11.687074829931973
571,Morestel,161,16875.0,104.8136645962733
572,Moreuil,300,4512.0,15.04
573,Morez,308,7956.0,25.83116883116883
574,Morlaix,986,26414.0,26.789046653144016
575,Mornant,298,6219.0,20.869127516778523
576,Mortagne-au-Perche,146,5018.0,34.36986301369863
577,Morteau,460,10537.0,22.906521739130437
578,Morzine,549,4629.0,8.431693989071038
579,Moulins,1118,39392.0,35.234347048300535
580,Mourenx,397,14693.0,37.01007556675063
581,Mouzon,200,2306.0,11.53
582,Moëlan-sur-Mer,172,6898.0,40.104651162790695
583,Moûtiers,263,4996.0,18.99619771863118
584,Mulhouse,5977,250499.0,41.91049021248118
585,Mulsanne,252,5295.0,21.011904761904763
586,Munster,247,12029.0,48.70040485829959
587,Murat,100,1954.0,19.54
588,Mussidan,141,7280.0,51.63120567375886
589,Muzillac,186,5165.0,27.768817204301076
590,Mâcon,2086,50313.0,24.119367209971237
591,Mèze,144,12177.0,84.5625
592,Méru,237,14794.0,62.42194092827004
593,Nancy,5451,290905.0,53.367272060172446
594,Nangis,132,8860.0,67.12121212121212
